id 10003
title TECHNOPOLIS 2085
artist PRASTIK DANCEFLOOR
level basic
music /tracks/technopolis_2085.mp3
cover https://storage.moegirl.org.cn/moegirl/commons/7/71/CHUNIsong_TECHNOPOLIS_2085.png
des wzq2067
delay 220

67bpm
16 6,7,6,
32 7,6,,,6,,,7,,,,
32 6,,,7,,6,,7,,,,6,,,,
16 7,6,7,
32 6,7,,,7,,,6,,,,
32 7,,,6,,7,,6,,,,7,,,,
16 6,7,6,
32 7,6,,,6,,,7,,,,
32 6,,,7,,6,,7,,,,6,,,,
32 7,6,7,,,,7,6,7,,,,7,6,7,,,,7,6,7,,,,
8 6,7,
4 6,7,6,7,
4 6,7,6,7,
8 6,7,6,7,6,7,6,7,
8 6,7,6,7,6,,,
32 7,6,7,,
8 6,7,6,7,6,7,6,7,
16 6,7,6,,7,6,7,,
8 6,7,
32 6,,7,6,,7,6,,
8 6,7,6,7,6,7,6,7,
16 6,7,6,7,6,,7,,
8 6,,,
32 7,6,7,,
16 6,,7,,6,7,6,,7,,6,,7,6,7,6,
16 7,6,7,6,7,,6,,
8 7,6,7,6,7,6,7,6,
16 7,6,7,,6,,7,,
16 6,,7,6,7,,6,,7,,,,
32 6,7,6,7,6,,,,
16 6,,7,,6,7,6,,7,,6,,7,6,7,6,
16 7,6,7,6,7,,6,,7,,
24 7,6,7,6,,,7,,,
8 6,7,6,7,
16 6,7,6,,7,,6,,
8 7,6,7,6,7,,,6,
4 7,
