id 10001
title Code Blood
artist Xlient
level basic
music /tracks/code_blood.mp3
cover https://p2.music.126.net/-XkgHQODi60rYQVURlm6Cg==/109951164073013847.jpg
des wzq2067
delay 0

150bpm
4 ,,,,,,,,
4 6,,7,,6,,7,,
16 6,,7,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,
16 6,,7,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,
16 6,,7,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,
16 6,,7,,,6,,,7,,,,,,,,6,,,,,,,,7,,,,,,,,
4 6,,7,,6,,7,,
4 6,,7,,6,,7,,
4 6,7,6,7,6,7,6,7,
8 6,7,6,7,6,7,6,7,6,7,6,7,,,6,,
4 7,,,,,,,6,
4 7,6,7,6,7,6,7,,
4 6,7,6,7,6,7,6,
8 7,6,
4 7,6,7,6,7,6,7,6,
16 7,,6,,,7,,,6,,,,,7,,,,,6,,,7,,,6,,,,7,,,,
4 6,7,6,7,6,7,6,,
4 7,6,7,6,7,6,7,6,
4 7,,,,,,,,
16 6,,7,,,6,,,
4 7,6,7,6,7,,
16 6,,7,,,6,,,
4 7,6,7,6,7,,
16 6,,7,,,6,,,
4 7,6,7,6,7,6,
4 7,,6,,7,,6,,
16 6,,7,,,6,,,
4 ,,,,,,
4 7,6,7,6,7,6,7,,
4 6,7,6,7,6,7,6,,
4 7,,
16 6,,,7,,,6,,7,,,6,,,7,,6,,,7,,,6,,7,


