id 11003
title Credits
artist Frums
level EXPERT
music /tracks/credits.mp3
cover https://silentblue.remywiki.com/images/thumb/2/2b/Credits.png/450px-Credits.png
des Jack
delay 0

179bpm
1 6,
8 ,,,7,,,,,
1 6,
8 ,,,7,,,,,
1 6,
8 ,,,7,,,,,
1 6,
8 ,,,7,,,,,6,,,7,,,6,,7,,,6,,,,,7,,,6,,,7,,6,,,7,,,,,6,,,7,,,6,,7,,,6,,,,,7,,,6,,,7,,6,,,7,,,,,6,,,7,6,,7,,6,,,7,6,,,,7,,,6,7,,6,,7,,,6,7,,,,6,,,7,6,,7,,6,,,7,6,,,,7,,,6,7,,6,,7,,,6,7,,,,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,,6,7,,,6,,
16 7,,6,7,,6,,,7,,6,7,,6,,,7,,6,7,,6,,,7,,6,7,,6,7,6,7,,6,7,,6,,,7,,6,7,,6,,,7,,6,7,,6,,,7,,6,7,,6,7,6,7,,6,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,7,6,7,,6,7,,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,,,,6,,7,6,,7,,6,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,,7,,6,,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,7,,6,,7,6,,7,,6,,7,,6,,7,6,,7,,6,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,,7,,6,,7,,6,7,,6,,7,6,,7,6,,7,,6,7,,6,7,,6,,7,6,,7,,,,,,
1 6,,,,,,,,
8 7,,,6,,,7,,6,,,7,,,,,6,,,7,,,6,,7,,,6,,,,,7,,,6,,,7,,6,,,7,,,,,6,,,7,,,6,,
2 7,6,
