id 10002
title PANDORA PARADOXXX
artist 削除
level basic
music /tracks/pandora_paradoxxx.mp3
cover https://p1.music.126.net/5Jb-rFzn657TIm1jzojk5A==/109951165098711210.jpg
des wzq2067
delay 1090

150bpm
4 6,,7,,6,,7,,
4 6,,7,,6,7,6,7,
4 6,7,,6,7,,6,7,,6,7,,
4 6,7,,6,7,,6,7,,6,7,,
8 6,,,7,,,6,,,7,,,6,,,,,,,,,,,,
4 7,,,6,,,,
16 7,,,6,,,7,,,6,,,7,,,,,,,,,
16 ,,,6,,,7,,,6,,,7,,,6,,,
16 ,,,6,,,7,,,6,,,7,,,6,,,
16 ,,,6,,,7,,,6,,,7,,,6,,,
16 ,,,6,,,7,,,6,,,7,,,6,,,7,,,
8 6,,7,6,,,6,,7,6,,,6,,7,6,,,6,7,6,7,6,7,
8 6,,7,6,,,6,,7,6,,,6,7,6,7,6,7,6,
8 6,,7,,6,,7,
8 6,,7,6,,,6,,7,6,,,6,7,6,7,,,
8 6,7,6,7,,,6,7,6,7,,6,7,,6,7,,,
16 6,,,7,,,6,,,,,,6,,,7,,,6,,,,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,,,,
8 7,6,,,,7,6,,,,
16 6,,,7,,,6,,,7,,,6,,,,,,,,,,,,
8 6,,7,6,,,6,,7,6,,,6,,7,6,,,6,7,6,7,,,
4 7,,,6,,,,
4 7,6,7,6,7,6,7,,
4 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,,
6 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7
