id 11001
title PANDORA PARADOXXX
artist 削除
level Re:MASTER
music /tracks/pandora_paradoxxx.mp3
cover https://p1.music.126.net/5Jb-rFzn657TIm1jzojk5A==/109951165098711210.jpg
des PANDORA PARADOXXX
delay 1090

150bpm
64 6,7,6,7,
16 6,,,,,,,7,,,,,,,,
2 6,7,6,7,
4 6,7,
24 6,7,6,7,6,7,6,7,6,7,6,7,
16 ,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,,,6,7,6,,7,,6,7,6,7,
8 ,6,7,,6,,7,6,,7,6,,
24 7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,
16 7,6,7,6,7,6,7,6,7,,,,
4 6,,,7,
16 ,,,,,,,,,,,,6,,,7,,,6,,,7,,,
24 6,7,6,7,6,7,
32 6,7,6,7,6,7,6,7,
8 6,,
200bpm
8 7,,6,,7,6,7,6,7,,6,7,6,,
16 7,,6,,7,,6,,7,6,7,6,7,,6,,
8 7,6,7,,6,7,6,7,
16 6,,7,6,,,,,7,,6,,7,,6,,7,,6,,7,,6,,7,6,7,6,7,6,7,6,
8 7,,
150bpm
8 6,7,6,7,
24 6,7,6,7,6,,,,,7,,,6,,,7,,,6,7,6,7,6,,7,,,6,,,7,,,6,,,7,6,7,6,7,,6,,7,,6,,7,6,7,6,7,6,7,6,7,6,7,6,
8 ,7,6,,7,6,,7,6,,7,6,,7,6,7,6,,7,,,,
16 ,,6,,,,7,,,,6,,7,6,,,7,,6,7,,,6,,7,6,,,7,,6,,7,,,6,7,,6,,7,6,,,7,,,6,7,,6,,7,
32 6,7,6,7,6,7,
16 6,,,7,,,6,,,7,6,,7,,6,,,,7,,,,,,
48 6,7,6,7,
16 ,,
48 6,,7,
16 ,,
48 6,7,
16 6,,,,,
48 7,6,7,6,
16 ,,
48 7,6,7,
16 ,,
48 6,7,
16 6,,,,,
48 7,6,7,6,
16 ,,
48 7,6,7,
16 ,,
48 6,7,6,,,
12 ,
48 7,6,7,,,
12 ,
48 6,7,6,,,
12 ,
48 ,7,6,,,
12 ,
48 7,6,
16 7,,,,,
8 6,,,,,7,,,
4 ,
48 6,7,6,7,,,,,,,6,7,6,,,,,,,7,6,7,,,,,,,6,7,
8 6,
32 ,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
16 6,,,,,,7,6,7,,,,6,7,6,,,,7,6,7,,,,6,7,6,,,,7,6,7,,,,6,7,6,,,,7,6,7,,,,6,7,6,,7,,,,
64 ,
4 ,,
64 6,7,6,
16 7,,,,,,,
4 ,,
24 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
16 6,7,6,7,6,,7,,
4 6,7,
75bpm
48 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
16 6,7,
64 6,7,6,7,6,
192 7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,7,,,,6,,,7,,,6,,,7,,,6,,,7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,,,6,,,7,6,,7,,,6,,,7,,,6,,,7,,6,7,,,6,,,7,,,6,,,7,,,
150bpm
8 6,,,,,
32 6,7,6,7,6,7,6,7,6,,,,
16 6,,7,,6,7,6,,7,,,,6,,7,,
24 7,,,6,,,7,6,7,,6,7,,,,6,,,7,,,6,,,
16 7,,,6,,,7,,,,6,,7,,6,,
8 7,
24 6,7,6,,7,6,
