id 11006
title ULTRA SYNERGY MATRIX
artist Tanchiky
level EXPERT
music /tracks/usm.mp3
cover https://silentblue.remywiki.com/images/7/79/ULTRA_SYNERGY_MATRIX.png
des Jack
delay 1495

160bpm
4 ,,,,,,,,
8 6,,,7,,,6,,
4 7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,
12 7,,,6,7,6,,,,7,,,
8 6,,7,,6,,7,6,
4 7,6,,,
8 7,,6,,7,,6,7,
16 6,,,,7,,,,6,7,,6,7,,6,,
8 7,,6,,7,6,7,,6,7,6,,7,,,,6,,7,,6,7,6,,
4 7,,,6,
8 7,,,,6,7,6,,7,,6,,7,6,7,,6,,,,7,6,7,,,,,,6,7,6,,7,,,,6,7,6,,7,,6,,7,6,7,,
2 6,,
4 7,,,,6,7,6,7,6,7,6,7,6,7,6,7,
2 6,7,
4 6,7,6,7,6,7,6,7,6,7,6,7,6,,7,,
2 6,7,6,7,6,7,6,7,
16 6,,,,7,,,6,,,7,,6,,,,7,,,,6,,,7,,,6,,7,,,,
8 6,7,,6,,,,,7,,6,7,6,,,,
4 7,,6,7,6,,7,6,7,,6,7,6,,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,,7,
8 6,,7,,6,7,6,7,6,,7,,6,,7,6,7,,6,,7,,,6,7,,,,6,,7,6,7,,6,,7,6,7,6,7,,6,,7,,6,7,
4 6,7,,6,,,,7,
8 6,7,6,7,,,6,,7,6,7,6,,,,,7,6,7,6,,,7,,6,7,6,7,6,,,,7,,6,7,6,7,6,7,,,6,,7,,6,7,
4 6,7,,6,
8 ,,,,,,,,
1 ,
4 ,,,,
8 7,,6,,7,,6,7,
16 ,,,,,,,,6,7,,6,7,,6,,
8 7,,6,,7,6,7,,6,7,6,,7,,,,6,,7,,6,7,6,,
4 7,,,6,
2 7,,
4 6,7,6,,
8 7,,,,6,7,6,7,6,,7,,6,7,6,7,6,,,,7,6,7,6,,,,,7,6,7,,6,,,,7,6,7,6,7,,6,,7,6,7,6,7,,,,6,7,6,7,6,
